DATE,vwretd,sprtrn,totval
2013-01-02,0.024996,0.025403,20893251100.00
2013-01-03,-0.001911,-0.002086,20853881500.00
2013-01-04,0.005653,0.004865,20972289100.00
2013-01-07,-0.002555,-0.003123,20919087800.00
2013-01-08,-0.002208,-0.003242,20865084900.00
2013-01-09,0.003403,0.002656,20935257000.00
2013-01-10,0.006790,0.007597,21077224200.00
2013-01-11,0.000244,-0.000048,21080498000.00
2013-01-14,-0.000350,-0.000931,21071617100.00
2013-01-15,0.001960,0.001129,21112605800.00
2013-01-16,-0.000738,0.000197,21095486400.00
2013-01-17,0.005930,0.005643,21224226600.00
2013-01-18,0.002942,0.003403,21292716500.00
2013-01-22,0.005180,0.004428,21400777800.00
2013-01-23,0.000286,0.001507,21405384700.00
2013-01-24,0.000638,0.000007,21418428300.00
2013-01-25,0.005250,0.005445,21532618100.00
2013-01-28,-0.001315,-0.001850,21504148700.00
2013-01-29,0.003632,0.005106,21581878400.00
2013-01-30,-0.003846,-0.003900,21489301700.00
2013-01-31,-0.000820,-0.002563,21513636700.00
2013-02-01,0.009291,0.010053,21713329000.00
2013-02-04,-0.011035,-0.011539,21486521400.00
2013-02-05,0.009248,0.010416,21681220700.00
2013-02-06,0.001293,0.000549,21706927700.00
2013-02-07,-0.002118,-0.001805,21654399000.00
2013-02-08,0.005390,0.005658,21769948200.00
2013-02-11,-0.001003,-0.000606,21746535400.00
2013-02-12,0.002191,0.001595,21793639100.00
2013-02-13,0.001389,0.000592,21813898400.00
2013-02-14,0.000865,0.000691,21827097400.00
2013-02-15,-0.002010,-0.001045,21782657200.00
2013-02-19,0.006956,0.007337,21929600200.00
2013-02-20,-0.013325,-0.012404,21636842600.00
2013-02-21,-0.007067,-0.006303,21477906700.00
2013-02-22,0.008665,0.008773,21661057500.00
2013-02-25,-0.017160,-0.018310,21288957900.00
2013-02-26,0.005656,0.006109,21392484700.00
2013-02-27,0.012275,0.012726,21651476400.00
2013-02-28,-0.000630,-0.000864,21613964900.00
2013-03-01,0.001752,0.002324,21651780400.00
2013-03-04,0.003648,0.004611,21729888100.00
2013-03-05,0.009190,0.009566,21930826800.00
2013-03-06,0.001656,0.001085,21963013300.00
2013-03-07,0.002328,0.001816,22014174200.00
2013-03-08,0.004895,0.004481,22120306900.00
2013-03-11,0.002695,0.003249,22178210800.00
2013-03-12,-0.001929,-0.002403,22139069500.00
2013-03-13,0.000805,0.001314,22149636000.00
2013-03-14,0.005963,0.005603,22280446600.00
2013-03-15,-0.001517,-0.001618,22244653400.00
2013-03-18,-0.005326,-0.005510,22125934200.00
2013-03-19,-0.002923,-0.002423,22060866900.00
2013-03-20,0.007248,0.006697,22221096000.00
2013-03-21,-0.007562,-0.008282,22053283300.00
2013-03-22,0.005842,0.007174,22183069900.00
2013-03-25,-0.003071,-0.003340,22114293400.00
2013-03-26,0.007299,0.007785,22270122400.00
2013-03-27,-0.000118,-0.000588,22265942600.00
2013-03-28,0.004054,0.004057,22397711900.00
2013-04-01,-0.005392,-0.004474,22271281600.00
2013-04-02,0.002710,0.005172,22331572200.00
2013-04-03,-0.011859,-0.010546,22063745300.00
2013-04-04,0.003826,0.004048,22147592300.00
2013-04-05,-0.003519,-0.004295,22069050600.00
2013-04-08,0.006639,0.006303,22211433900.00
2013-04-09,0.003703,0.003544,22292932000.00
2013-04-10,0.011618,0.012189,22551569600.00
2013-04-11,0.003194,0.003552,22621639500.00
2013-04-12,-0.003780,-0.002837,22537580700.00
2013-04-15,-0.025595,-0.022966,21958211400.00
2013-04-16,0.014655,0.014307,22279796200.00
2013-04-17,-0.014689,-0.014328,21949920400.00
2013-04-18,-0.005690,-0.006701,21831495900.00
2013-04-19,0.009359,0.008848,22038785000.00
2013-04-22,0.004277,0.004662,22132837800.00
2013-04-23,0.010143,0.010419,22356266400.00
2013-04-24,0.002179,0.000006,22403179900.00
2013-04-25,0.004946,0.004035,22513080600.00
2013-04-26,-0.002476,-0.001842,22456161400.00
2013-04-29,0.007371,0.007186,22620812900.00
2013-04-30,0.004139,0.002485,22722249100.00
2013-05-01,-0.010607,-0.009308,22475400100.00
2013-05-02,0.009484,0.009408,22692481500.00
2013-05-03,0.010398,0.010535,22926944300.00
2013-05-06,0.002566,0.001908,22984729400.00
2013-05-07,0.005135,0.005230,23095562200.00
2013-05-08,0.005022,0.004139,23203236800.00
2013-05-09,-0.003689,-0.003687,23118133600.00
2013-05-10,0.004676,0.004322,23225949500.00
2013-05-13,-0.000627,0.000043,23209051200.00
2013-05-14,0.009349,0.010142,23422519800.00
2013-05-15,0.003945,0.005114,23509833500.00
2013-05-16,-0.004594,-0.005010,23402749400.00
2013-05-17,0.009395,0.010300,23623433300.00
2013-05-20,0.000649,-0.000708,23637464000.00
2013-05-21,0.001600,0.001722,23676621100.00
2013-05-22,-0.009642,-0.008274,23447142400.00
2013-05-23,-0.002446,-0.002924,23391138800.00
2013-05-24,-0.001030,-0.000551,23367325400.00
2013-05-28,0.006307,0.006341,23514429800.00
2013-05-29,-0.006970,-0.007048,23346780800.00
2013-05-30,0.004204,0.003670,23441388100.00
2013-05-31,-0.013568,-0.014307,23148554100.00
2013-06-03,0.004640,0.005936,23252815800.00
2013-06-04,-0.005563,-0.005511,23126010400.00
2013-06-05,-0.013397,-0.013780,22811842600.00
2013-06-06,0.008981,0.008490,23014977200.00
2013-06-07,0.011386,0.012832,23275923200.00
2013-06-10,0.000184,-0.000347,23241554500.00
2013-06-11,-0.010890,-0.010153,22995933500.00
2013-06-12,-0.008137,-0.008370,22802164300.00
2013-06-13,0.015060,0.014784,23144269200.00
2013-06-14,-0.005379,-0.005885,23018499500.00
2013-06-17,0.007193,0.007567,23184231900.00
2013-06-18,0.007358,0.007791,23354287400.00
2013-06-19,-0.013406,-0.013851,23040515400.00
2013-06-20,-0.025751,-0.025010,22450706300.00
2013-06-21,0.001443,0.002670,22482510800.00
2013-06-24,-0.012352,-0.012145,22203319100.00
2013-06-25,0.010324,0.009497,22429374100.00
2013-06-26,0.008926,0.009590,22625019500.00
2013-06-27,0.008125,0.006200,22810787100.00
2013-06-28,-0.002809,-0.004290,22739737900.00
2013-07-01,0.006716,0.005404,22890519400.00
2013-07-02,-0.001412,-0.000545,22849273600.00
2013-07-03,0.000408,0.000824,22858131700.00
2013-07-05,0.009033,0.010202,23065245600.00
2013-07-08,0.005168,0.005252,23179658100.00
2013-07-09,0.007724,0.007230,23358221200.00
2013-07-10,0.000629,0.000182,23368091800.00
2013-07-11,0.014617,0.013554,23684691500.00
2013-07-12,0.002470,0.003087,23766476700.00
2013-07-15,0.002326,0.001375,23821512000.00
2013-07-16,-0.003791,-0.003709,23731721600.00
2013-07-17,0.003003,0.002774,23803059500.00
2013-07-18,0.005469,0.005033,23931942800.00
2013-07-19,0.001494,0.001610,23970299800.00
2013-07-22,0.002802,0.002033,24036654700.00
2013-07-23,-0.001167,-0.001852,24008727600.00
2013-07-24,-0.004921,-0.003811,23891079400.00
2013-07-25,0.003967,0.002556,23986039100.00
2013-07-26,0.000137,0.000828,23990239300.00
2013-07-29,-0.003759,-0.003736,23898410500.00
2013-07-30,0.000403,0.000374,23906846900.00
2013-07-31,0.000199,-0.000136,23914951700.00
2013-08-01,0.012261,0.012541,24213669800.00
2013-08-02,0.001331,0.001640,24248267800.00
2013-08-05,-0.000734,-0.001480,24227771800.00
2013-08-06,-0.006571,-0.005723,24067558300.00
2013-08-07,-0.004516,-0.003806,23952766300.00
2013-08-08,0.005441,0.003885,24081249700.00
2013-08-09,-0.001916,-0.003570,24038599300.00
2013-08-12,-0.000143,-0.001153,24034430800.00
2013-08-13,0.001516,0.002776,24066297300.00
2013-08-14,-0.004099,-0.005177,23966952500.00
2013-08-15,-0.012968,-0.014282,23654610600.00
2013-08-16,-0.002939,-0.003305,23584298800.00
2013-08-19,-0.007099,-0.005900,23415171000.00
2013-08-20,0.005669,0.003821,23546859800.00
2013-08-21,-0.006167,-0.005780,23400236900.00
2013-08-22,0.009128,0.008619,23613164800.00
2013-08-23,0.004367,0.003947,23714068800.00
2013-08-26,-0.002845,-0.004040,23644498500.00
2013-08-27,-0.016307,-0.015874,23258774400.00
2013-08-28,0.002623,0.002748,23316155100.00
2013-08-29,0.003198,0.001963,23387515900.00
2013-08-30,-0.004832,-0.003174,23255257400.00
2013-09-03,0.004517,0.004164,23358907200.00
2013-09-04,0.007599,0.008117,23531895300.00
2013-09-05,0.001828,0.001210,23573605100.00
2013-09-06,0.001057,0.000054,23596470000.00
2013-09-09,0.010849,0.009993,23853266700.00
2013-09-10,0.007216,0.007346,24021353000.00
2013-09-11,0.002744,0.003052,24081241800.00
2013-09-12,-0.004003,-0.003380,23979454400.00
2013-09-13,0.002645,0.002715,24043493800.00
2013-09-16,0.005156,0.005693,24167943100.00
2013-09-17,0.004981,0.004218,24286916300.00
2013-09-18,0.012556,0.012178,24594211300.00
2013-09-19,-0.001145,-0.001843,24563171500.00
2013-09-20,-0.007311,-0.007217,24388699000.00
2013-09-23,-0.004154,-0.004720,24286014500.00
2013-09-24,-0.001217,-0.002597,24253575200.00
2013-09-25,-0.001662,-0.002739,24213120300.00
2013-09-26,0.003963,0.003485,24305722300.00
2013-09-27,-0.003599,-0.004074,24205244900.00
2013-09-30,-0.004862,-0.006029,24127569300.00
2013-10-01,0.008707,0.007999,24325042000.00
2013-10-02,-0.000674,-0.000667,24305270700.00
2013-10-03,-0.008609,-0.008979,24096217300.00
2013-10-04,0.006741,0.007053,24260048000.00
2013-10-07,-0.008482,-0.008506,24053330400.00
2013-10-08,-0.013084,-0.012332,23732907800.00
2013-10-09,-0.000451,0.000574,23721605400.00
2013-10-10,0.020996,0.021830,24234155900.00
2013-10-11,0.006894,0.006286,24391724400.00
2013-10-14,0.004080,0.004075,24491001200.00
2013-10-15,-0.006865,-0.007064,24322400400.00
2013-10-16,0.012758,0.013828,24636614900.00
2013-10-17,0.007750,0.006744,24827186600.00
2013-10-18,0.006939,0.006549,24998146300.00
2013-10-21,0.000141,0.000092,24999101200.00
2013-10-22,0.005534,0.005738,25136808500.00
2013-10-23,-0.005308,-0.004725,25003215200.00
2013-10-24,0.004055,0.003258,25104194300.00
2013-10-25,0.003147,0.004395,25188145000.00
2013-10-28,0.000342,0.001330,25196346100.00
2013-10-29,0.004437,0.005584,25305888200.00
2013-10-30,-0.005665,-0.004876,25141697100.00
2013-10-31,-0.003506,-0.003839,25055863200.00
2013-11-01,0.001408,0.002903,25092320800.00
2013-11-04,0.004324,0.003571,25200651900.00
2013-11-05,-0.003013,-0.002806,25118209900.00
2013-11-06,0.003040,0.004266,25184324400.00
2013-11-07,-0.013878,-0.013183,24856504000.00
2013-11-08,0.012349,0.013428,25164082800.00
2013-11-11,0.001003,0.000723,25189245000.00
2013-11-12,-0.002249,-0.002370,25130993100.00
2013-11-13,0.008519,0.008095,25334165800.00
2013-11-14,0.004571,0.004837,25448542400.00
2013-11-15,0.004409,0.004222,25561353800.00
2013-11-18,-0.004646,-0.003698,25439186800.00
2013-11-19,-0.003367,-0.002043,25342759100.00
2013-11-20,-0.003294,-0.003636,25268220600.00
2013-11-21,0.008658,0.008129,25486366900.00
2013-11-22,0.004566,0.004961,25602406400.00
2013-11-25,-0.001436,-0.001263,25564292300.00
2013-11-26,0.001078,0.000150,25589518100.00
2013-11-27,0.002738,0.002485,25654756200.00
2013-11-29,0.000159,-0.000786,25661520100.00
2013-12-02,-0.003638,-0.002719,25566648500.00
2013-12-03,-0.003715,-0.003193,25470704100.00
2013-12-04,-0.000941,-0.001304,25440082000.00
2013-12-05,-0.003514,-0.004340,25350750000.00
2013-12-06,0.009683,0.011238,25594437600.00
2013-12-09,0.001868,0.001817,25636073200.00
2013-12-10,-0.002813,-0.003180,25563361800.00
2013-12-11,-0.012070,-0.011317,25251393300.00
2013-12-12,-0.002543,-0.003771,25209255300.00
2013-12-13,0.001277,-0.000101,25248572700.00
2013-12-16,0.006445,0.006320,25414008100.00
2013-12-17,-0.002344,-0.003101,25352826500.00
2013-12-18,0.014462,0.016648,25715906500.00
2013-12-19,-0.001026,-0.000580,25686845000.00
2013-12-20,0.006904,0.004819,25855220000.00
2013-12-23,0.006229,0.005318,26011957800.00
2013-12-24,0.003476,0.002916,26096228100.00
2013-12-26,0.003993,0.004745,26201274400.00
2013-12-27,-0.000061,-0.000337,26192146700.00
2013-12-30,0.000277,-0.000179,26197914400.00
2013-12-31,0.004255,0.003960,26328806400.00
2014-01-02,-0.008757,-0.008862,26092749600.00
2014-01-03,0.000491,-0.000333,26101010700.00
2014-01-06,-0.003340,-0.002512,26013191100.00
2014-01-07,0.006090,0.006082,26171271100.00
2014-01-08,0.000155,-0.000212,26170631400.00
2014-01-09,0.000090,0.000348,26174381500.00
2014-01-10,0.003567,0.002307,26267908600.00
2014-01-13,-0.011641,-0.012576,25958689100.00
2014-01-14,0.010257,0.010818,26224175800.00
2014-01-15,0.005066,0.005166,26358180600.00
2014-01-16,-0.000279,-0.001347,26349889800.00
2014-01-17,-0.003454,-0.003895,26265353000.00
2014-01-21,0.003351,0.002774,26351997200.00
2014-01-22,0.001484,0.000575,26402684100.00
2014-01-23,-0.008159,-0.008890,26197279800.00
2014-01-24,-0.021135,-0.020875,25639215200.00
2014-01-27,-0.006632,-0.004876,25464578300.00
2014-01-28,0.007293,0.006141,25651702300.00
2014-01-29,-0.009930,-0.010209,25392170100.00
2014-01-30,0.011487,0.011267,25684294200.00
2014-01-31,-0.005796,-0.006465,25528416600.00
2014-02-03,-0.023197,-0.022832,24934374100.00
2014-02-04,0.007612,0.007641,25109227400.00
2014-02-05,-0.001952,-0.002028,25053551700.00
2014-02-06,0.011924,0.012440,25344820600.00
2014-02-07,0.012595,0.013302,25662703400.00
2014-02-10,0.001576,0.001569,25702412400.00
2014-02-11,0.010599,0.011062,25974268100.00
2014-02-12,0.001149,-0.000269,25993454500.00
2014-02-13,0.006957,0.005810,26174005000.00
2014-02-14,0.004104,0.004809,26279914200.00
2014-02-18,0.003182,0.001158,26360773400.00
2014-02-19,-0.006797,-0.006524,26180383600.00
2014-02-20,0.006440,0.006031,26346778400.00
2014-02-21,-0.000817,-0.001919,26328020000.00
2014-02-24,0.006174,0.006187,26491161600.00
2014-02-25,-0.001268,-0.001348,26457325500.00
2014-02-26,0.001034,0.000022,26479638200.00
2014-02-27,0.004900,0.004948,26607029700.00
2014-02-28,0.001673,0.002783,26694950800.00
2014-03-03,-0.006637,-0.007379,26518065800.00
2014-03-04,0.015433,0.015268,26926577900.00
2014-03-05,0.000357,-0.000053,26931614000.00
2014-03-06,0.001723,0.001718,26974057600.00
2014-03-07,-0.000796,0.000538,26952722600.00
2014-03-10,-0.001258,-0.000463,26919934600.00
2014-03-11,-0.005526,-0.005082,26770728000.00
2014-03-12,0.001300,0.000305,26797184300.00
2014-03-13,-0.011137,-0.011701,26496138000.00
2014-03-14,-0.001383,-0.002822,26458484800.00
2014-03-17,0.008275,0.009614,26677997300.00
2014-03-18,0.007665,0.007220,26882069000.00
2014-03-19,-0.006779,-0.006132,26699783200.00
2014-03-20,0.004709,0.006041,26826863400.00
2014-03-21,-0.002864,-0.002933,26748691600.00
2014-03-24,-0.006075,-0.004865,26585376000.00
2014-03-25,0.003439,0.004404,26671750600.00
2014-03-26,-0.008153,-0.007000,26461047400.00
2014-03-27,-0.001045,-0.001900,26429283600.00
2014-03-28,0.004470,0.004640,26534235000.00
2014-03-31,0.009182,0.007924,26838809800.00
2014-04-01,0.008258,0.007039,27055793900.00
2014-04-02,0.002821,0.002853,27128038300.00
2014-04-03,-0.003118,-0.001126,27075127300.00
2014-04-04,-0.012591,-0.012537,26744980400.00
2014-04-07,-0.011655,-0.010750,26436236200.00
2014-04-08,0.005386,0.003751,26569678700.00
2014-04-09,0.011291,0.010918,26869606800.00
2014-04-10,-0.020774,-0.020885,26321495800.00
2014-04-11,-0.009794,-0.009487,26065838200.00
2014-04-14,0.006520,0.008217,26235796600.00
2014-04-15,0.005170,0.006757,26374817800.00
2014-04-16,0.010627,0.010488,26661955000.00
2014-04-17,0.002272,0.001364,26727662800.00
2014-04-21,0.003484,0.003775,26819263000.00
2014-04-22,0.005567,0.004092,26967831300.00
2014-04-23,-0.002758,-0.002213,26890477700.00
2014-04-24,0.000719,0.001717,26909582100.00
2014-04-25,-0.009470,-0.008096,26654033200.00
2014-04-28,0.001060,0.003236,26678686500.00
2014-04-29,0.005627,0.004761,26829950500.00
2014-04-30,0.003405,0.002992,26921957900.00
2014-05-01,0.000772,-0.000143,26926530600.00
2014-05-02,-0.000260,-0.001348,26920479100.00
2014-05-05,0.001302,0.001871,26953857800.00
2014-05-06,-0.008724,-0.008988,26717905800.00
