PERMNO,date,TICKER,COMNAM,RET,RETX,vwretd
10107,2013-01-02,MSFT,MICROSOFT CORP,0.034081,0.034081,0.024996
10107,2013-01-03,MSFT,MICROSOFT CORP,-0.013396,-0.013396,-0.001911
10107,2013-01-04,MSFT,MICROSOFT CORP,-0.018716,-0.018716,0.005653
10107,2013-01-07,MSFT,MICROSOFT CORP,-0.001870,-0.001870,-0.002555
10107,2013-01-08,MSFT,MICROSOFT CORP,-0.005245,-0.005245,-0.002208
10107,2013-01-09,MSFT,MICROSOFT CORP,0.005650,0.005650,0.003403
10107,2013-01-10,MSFT,MICROSOFT CORP,-0.008989,-0.008989,0.006790
10107,2013-01-11,MSFT,MICROSOFT CORP,0.013983,0.013983,0.000244
10107,2013-01-14,MSFT,MICROSOFT CORP,0.002236,0.002236,-0.000350
10107,2013-01-15,MSFT,MICROSOFT CORP,0.011900,0.011900,0.001960
10107,2013-01-16,MSFT,MICROSOFT CORP,-0.006248,-0.006248,-0.000738
10107,2013-01-17,MSFT,MICROSOFT CORP,0.007766,0.007766,0.005930
10107,2013-01-18,MSFT,MICROSOFT CORP,0.000000,0.000000,0.002942
10107,2013-01-22,MSFT,MICROSOFT CORP,-0.003670,-0.003670,0.005180
10107,2013-01-23,MSFT,MICROSOFT CORP,0.016943,0.016943,0.000286
10107,2013-01-24,MSFT,MICROSOFT CORP,0.000724,0.000724,0.000638
10107,2013-01-25,MSFT,MICROSOFT CORP,0.009048,0.009048,0.005250
10107,2013-01-28,MSFT,MICROSOFT CORP,0.001112,0.001112,-0.001315
10107,2013-01-29,MSFT,MICROSOFT CORP,0.003547,0.003547,0.003632
10107,2013-01-30,MSFT,MICROSOFT CORP,-0.005712,-0.005712,-0.003846
10107,2013-01-31,MSFT,MICROSOFT CORP,-0.014363,-0.014363,-0.000820
10107,2013-02-01,MSFT,MICROSOFT CORP,0.017486,0.017486,0.009291
10107,2013-02-04,MSFT,MICROSOFT CORP,-0.017544,-0.017544,-0.011035
10107,2013-02-05,MSFT,MICROSOFT CORP,0.002004,0.002004,0.009248
10107,2013-02-06,MSFT,MICROSOFT CORP,-0.005637,-0.005637,0.001293
10107,2013-02-07,MSFT,MICROSOFT CORP,-0.002085,-0.002085,-0.002118
10107,2013-02-08,MSFT,MICROSOFT CORP,0.009786,0.009786,0.005390
10107,2013-02-11,MSFT,MICROSOFT CORP,0.011252,0.011252,-0.001003
10107,2013-02-12,MSFT,MICROSOFT CORP,0.000718,0.000718,0.002191
10107,2013-02-13,MSFT,MICROSOFT CORP,0.005380,0.005380,0.001389
10107,2013-02-14,MSFT,MICROSOFT CORP,0.000357,0.000357,0.000865
10107,2013-02-15,MSFT,MICROSOFT CORP,-0.001070,-0.001070,-0.002010
10107,2013-02-19,MSFT,MICROSOFT CORP,0.009461,0.001250,0.006956
10107,2013-02-20,MSFT,MICROSOFT CORP,-0.006240,-0.006240,-0.013325
10107,2013-02-21,MSFT,MICROSOFT CORP,-0.013635,-0.013635,-0.007067
10107,2013-02-22,MSFT,MICROSOFT CORP,0.009822,0.009822,0.008665
10107,2013-02-25,MSFT,MICROSOFT CORP,-0.014049,-0.014049,-0.017160
10107,2013-02-26,MSFT,MICROSOFT CORP,0.000000,0.000000,0.005656
10107,2013-02-27,MSFT,MICROSOFT CORP,0.016076,0.016076,0.012275
10107,2013-02-28,MSFT,MICROSOFT CORP,-0.000360,-0.000360,-0.000630
10107,2013-03-01,MSFT,MICROSOFT CORP,0.005396,0.005396,0.001752
10107,2013-03-04,MSFT,MICROSOFT CORP,0.007156,0.007156,0.003648
10107,2013-03-05,MSFT,MICROSOFT CORP,0.007105,0.007105,0.009190
10107,2013-03-06,MSFT,MICROSOFT CORP,-0.009171,-0.009171,0.001656
10107,2013-03-07,MSFT,MICROSOFT CORP,0.001780,0.001780,0.002328
10107,2013-03-08,MSFT,MICROSOFT CORP,-0.004975,-0.004975,0.004895
10107,2013-03-11,MSFT,MICROSOFT CORP,-0.004643,-0.004643,0.002695
10107,2013-03-12,MSFT,MICROSOFT CORP,0.001435,0.001435,-0.001929
10107,2013-03-13,MSFT,MICROSOFT CORP,0.000179,0.000179,0.000805
10107,2013-03-14,MSFT,MICROSOFT CORP,0.007881,0.007881,0.005963
10107,2013-03-15,MSFT,MICROSOFT CORP,-0.003554,-0.003554,-0.001517
10107,2013-03-18,MSFT,MICROSOFT CORP,0.002319,0.002319,-0.005326
10107,2013-03-19,MSFT,MICROSOFT CORP,0.002847,0.002847,-0.002923
10107,2013-03-20,MSFT,MICROSOFT CORP,0.004791,0.004791,0.007248
10107,2013-03-21,MSFT,MICROSOFT CORP,-0.007240,-0.007240,-0.007562
10107,2013-03-22,MSFT,MICROSOFT CORP,0.004980,0.004980,0.005842
10107,2013-03-25,MSFT,MICROSOFT CORP,-0.003186,-0.003186,-0.003071
10107,2013-03-26,MSFT,MICROSOFT CORP,-0.000178,-0.000178,0.007299
10107,2013-03-27,MSFT,MICROSOFT CORP,0.007636,0.007636,-0.000118
10107,2013-03-28,MSFT,MICROSOFT CORP,0.008283,0.008283,0.004054
10107,2013-04-01,MSFT,MICROSOFT CORP,0.000175,0.000175,-0.005392
10107,2013-04-02,MSFT,MICROSOFT CORP,0.006641,0.006641,0.002710
10107,2013-04-03,MSFT,MICROSOFT CORP,-0.008333,-0.008333,-0.011859
10107,2013-04-04,MSFT,MICROSOFT CORP,0.001225,0.001225,0.003826
10107,2013-04-05,MSFT,MICROSOFT CORP,0.003672,0.003672,-0.003519
10107,2013-04-08,MSFT,MICROSOFT CORP,-0.003833,-0.003833,0.006639
10107,2013-04-09,MSFT,MICROSOFT CORP,0.035677,0.035677,0.003703
10107,2013-04-10,MSFT,MICROSOFT CORP,0.022627,0.022627,0.011618
10107,2013-04-11,MSFT,MICROSOFT CORP,-0.044419,-0.044419,0.003194
10107,2013-04-12,MSFT,MICROSOFT CORP,-0.005011,-0.005011,-0.003780
10107,2013-04-15,MSFT,MICROSOFT CORP,-0.003473,-0.003473,-0.025595
10107,2013-04-16,MSFT,MICROSOFT CORP,0.009759,0.009759,0.014655
10107,2013-04-17,MSFT,MICROSOFT CORP,-0.005005,-0.005005,-0.014689
10107,2013-04-18,MSFT,MICROSOFT CORP,-0.001214,-0.001214,-0.005690
10107,2013-04-19,MSFT,MICROSOFT CORP,0.033866,0.033866,0.009359
10107,2013-04-22,MSFT,MICROSOFT CORP,0.035780,0.035780,0.004277
10107,2013-04-23,MSFT,MICROSOFT CORP,-0.007460,-0.007460,0.010143
10107,2013-04-24,MSFT,MICROSOFT CORP,0.037908,0.037908,0.002179
10107,2013-04-25,MSFT,MICROSOFT CORP,0.005668,0.005668,0.004946
10107,2013-04-26,MSFT,MICROSOFT CORP,-0.004696,-0.004696,-0.002476
10107,2013-04-29,MSFT,MICROSOFT CORP,0.025794,0.025794,0.007371
10107,2013-04-30,MSFT,MICROSOFT CORP,0.015026,0.015026,0.004139
10107,2013-05-01,MSFT,MICROSOFT CORP,-0.011480,-0.011480,-0.010607
