time,ret1,ret2,ret3,ret4,ret5,ret6,ret7,ret8,ret9,ret10,ret11,ret12,ret13,ret14,ret15,ret16,ret17,ret18,ret19,ret20,ret21,ret22,ret23
-45,-0.031859,-0.040027,0.002759,-0.014316,-0.004233,0.007937,0,-0.018605,-0.005747,-0.008739,0.030114,0.015963,-0.014311,-0.016611,0.016841,-0.022552,-0.019637,-0.00713,0.016174,0.003515,-0.006393,-0.00503,-0.018968
-44,-0.011614,-0.00392,-0.006018,-0.018768,0.013037,0.086614,0.011037,0.004739,-0.031214,-0.02693,0.005186,0.04826,-0.029038,0.005792,0.000808,0.020927,0.004006,-0.011523,0.000719,-0.004139,-0.003854,-0.016429,0.005259
-43,-0.022327,-0.012165,-0.00173,-0.001634,-0.004476,-0.050725,-0.039301,-0.023585,0.0358,0.024614,0,-0.058315,0.007477,0.018234,0.004036,0.011212,0.031001,0.005237,-0.002565,0.010125,0.00631,0.018172,0.001846
-42,-0.000401,-0.023904,0.028938,-0.014152,-0.016393,0.045802,-0.009091,0.012077,0.009217,-0.013727,-0.020731,-0.004587,-0.001855,0.020735,0.008643,-0.006064,-0.020095,-0.009916,0.003189,0.002743,0.004531,-0.030287,-0.007987
-41,-0.033667,-0.000557,-0.017178,-0.022266,-0.007048,-0.10219,-0.020642,0.009547,0.028539,0.006345,-0.048624,-0.111751,-0.011152,0.003232,-0.005978,0.021963,0.009798,-0.01375,-0.00482,-0.008312,0.00246,-0.021937,0.006193
-40,-0.029448,0.02209,-0.013537,-0.023871,0.007481,0.04065,0.018735,0.009456,0.039956,0.009804,0.027417,-0.057069,0,0.002301,0.004812,-0.002047,-0.021662,-0.002926,-0.012057,-0.005836,-0.012589,0.045999,-0.004924
-39,-0.03547,0.012169,0.009727,-0.0088,0.011139,-0.070312,-0.027586,-0.007026,0,0.009104,-0.03297,-0.002751,-0.015038,0.009183,0.010375,-0.001538,0.009379,-0.015191,-0.003755,-0.004696,-0.034889,0.005452,-0.002629
-38,0.025255,-0.004306,-0.0246,-0.011872,0.004049,-0.008403,0.057692,0.002359,0.007471,-0.000359,-0.017297,-0.038621,0.020992,-0.010919,-0.007899,-0.000342,-0.013482,0.017178,-0.020521,-0.011044,0.00248,0.021869,0.006667
-37,0.036733,-0.000362,-0.010053,0.006164,0.003188,-0.101695,0.025,-0.018824,0.050848,-0.001997,0.010276,-0.012912,0.001869,0.01012,-0.002986,0.007705,-0.007952,-0.016371,-0.017317,0.001843,0.009277,-0.006898,-0.008317
-36,0.010838,0.010685,0.027614,0.018586,0.016639,-0.056604,-0.008869,-0.002398,0.03629,-0.00076,-0.010197,-0.053779,0.018657,0.01275,0.012378,-0.001019,-0.010818,0.006833,-0.000653,0.017424,-0.01103,0.036509,0.019724
-35,-0.006186,0.007346,-0.003988,-0.011111,0.002391,0.12,0.017897,0.009615,0.100195,0.000761,-0.01722,0.075269,0.010989,-0.013489,0.007494,-0.002722,0.003413,0.01218,0.000327,0.003723,-0.011487,0.009966,-0.001371
