PERMNO,date,TICKER,PERMCO,RET,dateff,mktrf,smb,hml,rf,umd
86580,12/31/2003,NVDA,16382,0.092793,12/31/2003,0.0429,-0.0267,0.016,0.0008,-0.0557
86580,1/30/2004,NVDA,16382,-0.040948,1/30/2004,0.0215,0.0255,0.0249,0.0007,0.0258
86580,2/27/2004,NVDA,16382,0,2/27/2004,0.014,-0.0157,0.0088,0.0006,-0.0114
86580,3/31/2004,NVDA,16382,0.186517,3/31/2004,-0.0132,0.0172,0.0027,0.0009,0.0017
86580,4/30/2004,NVDA,16382,-0.222727,4/30/2004,-0.0183,-0.017,-0.0307,0.0008,-0.0538
86580,5/28/2004,NVDA,16382,0.142788,5/28/2004,0.0117,-0.002,-0.0025,0.0006,0.015
86580,6/30/2004,NVDA,16382,-0.127079,6/30/2004,0.0186,0.0226,0.0118,0.0008,0.0205
86580,7/30/2004,NVDA,16382,-0.246702,7/30/2004,-0.0406,-0.0382,0.0324,0.001,-0.0229
86580,8/31/2004,NVDA,16382,-0.191959,8/31/2004,0.0008,-0.0148,0.0097,0.0011,-0.0159
86580,9/30/2004,NVDA,16382,0.165329,9/30/2004,0.016,0.0301,0,0.0011,0.0549
86580,10/29/2004,NVDA,16382,-0.003444,10/29/2004,0.0143,0.0015,-0.0022,0.0011,-0.0138
86580,11/30/2004,NVDA,16382,0.322046,11/30/2004,0.0454,0.0374,0.0141,0.0015,0.0316
86580,12/31/2004,NVDA,16382,0.231573,12/31/2004,0.0343,-0.0003,-0.0022,0.0016,-0.0287
86580,1/31/2005,NVDA,16382,-0.027165,1/31/2005,-0.0276,-0.0172,0.0206,0.0016,0.0305
86580,2/28/2005,NVDA,16382,0.264834,2/28/2005,0.0189,-0.0057,0.0154,0.0016,0.0337
86580,3/31/2005,NVDA,16382,-0.180407,3/31/2005,-0.0197,-0.014,0.0204,0.0021,0.0041
86580,4/29/2005,NVDA,16382,-0.07702,4/29/2005,-0.0261,-0.0394,0.0007,0.0021,-0.0069
86580,5/31/2005,NVDA,16382,0.23575,5/31/2005,0.0365,0.0288,-0.0064,0.0024,0.0045
86580,6/30/2005,NVDA,16382,-0.014022,6/30/2005,0.0057,0.0258,0.0283,0.0023,0.0205
86580,7/29/2005,NVDA,16382,0.012725,7/29/2005,0.0392,0.0291,-0.0079,0.0024,0.0006
86580,8/31/2005,NVDA,16382,0.133777,8/31/2005,-0.0122,-0.0097,0.0132,0.003,0.0208
86580,9/30/2005,NVDA,16382,0.11734,9/30/2005,0.0049,-0.0065,0.0071,0.0029,0.0343
86580,10/31/2005,NVDA,16382,-0.021295,10/31/2005,-0.0202,-0.0125,0.0042,0.0027,-0.0139
86580,11/30/2005,NVDA,16382,0.077496,11/30/2005,0.0361,0.01,-0.0116,0.0031,0.0035
86580,12/30/2005,NVDA,16382,0.011342,12/30/2005,-0.0025,-0.0042,0.002,0.0032,0.0077
