PERMNO,date,TICKER,PERMCO,RET
86580,12/31/2003,NVDA,16382,0.092793
86580,1/30/2004,NVDA,16382,-0.040948
86580,2/27/2004,NVDA,16382,0
86580,3/31/2004,NVDA,16382,0.186517
86580,4/30/2004,NVDA,16382,-0.222727
86580,5/28/2004,NVDA,16382,0.142788
86580,6/30/2004,NVDA,16382,-0.127079
86580,7/30/2004,NVDA,16382,-0.246702
86580,8/31/2004,NVDA,16382,-0.191959
86580,9/30/2004,NVDA,16382,0.165329
86580,10/29/2004,NVDA,16382,-0.003444
86580,11/30/2004,NVDA,16382,0.322046
86580,12/31/2004,NVDA,16382,0.231573
86580,1/31/2005,NVDA,16382,-0.027165
86580,2/28/2005,NVDA,16382,0.264834
86580,3/31/2005,NVDA,16382,-0.180407
86580,4/29/2005,NVDA,16382,-0.07702
86580,5/31/2005,NVDA,16382,0.23575
86580,6/30/2005,NVDA,16382,-0.014022
86580,7/29/2005,NVDA,16382,0.012725
86580,8/31/2005,NVDA,16382,0.133777
86580,9/30/2005,NVDA,16382,0.11734
86580,10/31/2005,NVDA,16382,-0.021295
86580,11/30/2005,NVDA,16382,0.077496
86580,12/30/2005,NVDA,16382,0.011342
86580,1/31/2006,NVDA,16382,0.229759
86580,2/28/2006,NVDA,16382,0.048265
86580,3/31/2006,NVDA,16382,0.214937
86580,4/28/2006,NVDA,16382,0.020608
86580,5/31/2006,NVDA,16382,-0.213552
86580,6/30/2006,NVDA,16382,-0.073542
86580,7/31/2006,NVDA,16382,0.039925
86580,8/31/2006,NVDA,16382,0.314815
86580,9/29/2006,NVDA,16382,0.016489
86580,10/31/2006,NVDA,16382,0.178439
86580,11/30/2006,NVDA,16382,0.060797
86580,12/29/2006,NVDA,16382,0.000541
86580,1/31/2007,NVDA,16382,-0.171845
86580,2/28/2007,NVDA,16382,0.011419
86580,3/30/2007,NVDA,16382,-0.071613
86580,4/30/2007,NVDA,16382,0.142807
86580,5/31/2007,NVDA,16382,0.053177
86580,6/29/2007,NVDA,16382,0.192586
86580,7/31/2007,NVDA,16382,0.107722
86580,8/31/2007,NVDA,16382,0.118007
86580,9/28/2007,NVDA,16382,0.062549
86580,10/31/2007,NVDA,16382,-0.023731
86580,11/30/2007,NVDA,16382,-0.108536
86580,12/31/2007,NVDA,16382,0.07863
86580,1/31/2008,NVDA,16382,-0.27719
86580,2/29/2008,NVDA,16382,-0.130134
86580,3/31/2008,NVDA,16382,-0.074801
86580,4/30/2008,NVDA,16382,0.038403
86580,5/30/2008,NVDA,16382,0.201947
86580,6/30/2008,NVDA,16382,-0.242105
86580,7/31/2008,NVDA,16382,-0.388889
86580,8/29/2008,NVDA,16382,0.104895
86580,9/30/2008,NVDA,16382,-0.15269
86580,10/31/2008,NVDA,16382,-0.182073
86580,11/28/2008,NVDA,16382,-0.14726
86580,12/31/2008,NVDA,16382,0.080321
86580,1/30/2009,NVDA,16382,-0.01487
86580,2/27/2009,NVDA,16382,0.041509
86580,3/31/2009,NVDA,16382,0.190821
86580,4/30/2009,NVDA,16382,0.1643
86580,5/29/2009,NVDA,16382,-0.091463
86580,6/30/2009,NVDA,16382,0.082454
86580,7/31/2009,NVDA,16382,0.145261
86580,8/31/2009,NVDA,16382,0.12297
86580,9/30/2009,NVDA,16382,0.035124
86580,10/30/2009,NVDA,16382,-0.204258
86580,11/30/2009,NVDA,16382,0.091973
86580,12/31/2009,NVDA,16382,0.430322
86580,1/29/2010,NVDA,16382,-0.176124
86580,2/26/2010,NVDA,16382,0.052632
86580,3/31/2010,NVDA,16382,0.074074
